name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Default_LightGBM,LightGBM,rmse,170.89639088793163,15.61,0.0141
2_Default_Xgboost,Xgboost,rmse,170.46838395776302,5.64,0.0112
3_Default_CatBoost,CatBoost,rmse,169.97859389993835,4.29,0.0199
4_Default_NeuralNetwork,Neural Network,rmse,170.8005067547761,8.31,0.0181
5_Default_RandomForest,Random Forest,rmse,172.29809731711347,7.4,0.0865
10_LightGBM,LightGBM,rmse,172.38772377915694,4.74,0.0089
6_Xgboost,Xgboost,rmse,171.52933014297045,2.83,0.0099
14_CatBoost,CatBoost,rmse,169.97315227969546,3.38,0.0086
18_RandomForest,Random Forest,rmse,173.05630933781697,4.53,0.0856
22_NeuralNetwork,Neural Network,rmse,171.03252114527075,3.66,0.0147
11_LightGBM,LightGBM,rmse,170.98045792791868,4.52,0.0088
7_Xgboost,Xgboost,rmse,171.65756257724962,2.84,0.0106
15_CatBoost,CatBoost,rmse,170.01232236178947,3.17,0.0093
19_RandomForest,Random Forest,rmse,175.20024613728404,6.63,0.0879
23_NeuralNetwork,Neural Network,rmse,170.74127248246367,9.64,0.0147
12_LightGBM,LightGBM,rmse,170.8775713518284,6.03,0.0091
8_Xgboost,Xgboost,rmse,173.35593609227607,5.22,0.0102
16_CatBoost,CatBoost,rmse,170.00114346875165,2.78,0.0085
20_RandomForest,Random Forest,rmse,170.21159610625853,7.36,0.081
24_NeuralNetwork,Neural Network,rmse,171.2996218681863,7.69,0.0148
13_LightGBM,LightGBM,rmse,171.34240965700235,7.36,0.0087
9_Xgboost,Xgboost,rmse,173.22060768560968,4.41,0.011
17_CatBoost,CatBoost,rmse,170.03539621160792,3.01,0.0098
21_RandomForest,Random Forest,rmse,170.75902342668473,7.37,0.0881
25_NeuralNetwork,Neural Network,rmse,171.25804057802063,5.92,0.0146
14_CatBoost_GoldenFeatures,CatBoost,rmse,169.99940253509453,4.99,0.0201
3_Default_CatBoost_GoldenFeatures,CatBoost,rmse,170.0560782580311,3.26,0.0193
16_CatBoost_GoldenFeatures,CatBoost,rmse,170.0863836439484,3.59,0.0165
14_CatBoost_RandomFeature,CatBoost,rmse,170.0433669587867,4.17,0.0111
26_CatBoost,CatBoost,rmse,169.96709553655322,4.77,0.0086
27_CatBoost,CatBoost,rmse,170.035830862902,3.08,0.0086
28_CatBoost,CatBoost,rmse,169.97277726483503,4.24,0.04
29_CatBoost,CatBoost,rmse,170.08374444033535,3.16,0.0101
30_RandomForest,Random Forest,rmse,170.69840478760014,7.08,0.0783
31_RandomForest,Random Forest,rmse,170.28623231070554,8.68,0.0787
32_Xgboost,Xgboost,rmse,170.21582641330016,2.88,0.0104
33_Xgboost,Xgboost,rmse,171.037864560381,3.5,0.0103
34_NeuralNetwork,Neural Network,rmse,170.51313588186395,5.88,0.0147
35_RandomForest,Random Forest,rmse,171.47031702704783,4.31,0.0787
36_RandomForest,Random Forest,rmse,170.3889869232161,8.48,0.0821
37_NeuralNetwork,Neural Network,rmse,170.83346863722636,4.91,0.0147
38_NeuralNetwork,Neural Network,rmse,171.00671814160202,6.74,0.0148
39_LightGBM,LightGBM,rmse,170.9043992296774,4.68,0.0087
40_LightGBM,LightGBM,rmse,170.8790718656946,4.88,0.011
41_Xgboost,Xgboost,rmse,170.9080445993197,3.15,0.0106
42_Xgboost,Xgboost,rmse,172.34903578742305,3.6,0.0107
43_CatBoost,CatBoost,rmse,169.9757861358673,4.74,0.0086
44_CatBoost,CatBoost,rmse,169.94730293892184,5.98,0.0085
45_CatBoost,CatBoost,rmse,169.9718014708791,4.1,0.0094
46_CatBoost,CatBoost,rmse,169.98126056737834,4.02,0.0085
47_RandomForest,Random Forest,rmse,170.32827342891218,7.12,0.099
48_Xgboost,Xgboost,rmse,170.24589273379087,3.36,0.0106
49_Xgboost,Xgboost,rmse,170.26178928933143,2.95,0.0099
50_RandomForest,Random Forest,rmse,170.19910972681984,7.66,0.0874
51_Xgboost,Xgboost,rmse,170.46730341119644,4.28,0.0407
52_Xgboost,Xgboost,rmse,170.44485706288054,8.25,0.0102
53_NeuralNetwork,Neural Network,rmse,170.45351519130742,6.28,0.0284
54_NeuralNetwork,Neural Network,rmse,170.61143351177572,6.11,0.0173
55_NeuralNetwork,Neural Network,rmse,170.51525816964474,9.52,0.0171
56_NeuralNetwork,Neural Network,rmse,170.38592515362595,10.3,0.0155
57_LightGBM,LightGBM,rmse,170.3866049069181,4.88,0.0088
58_LightGBM,LightGBM,rmse,171.30044585145916,7.61,0.0154
59_LightGBM,LightGBM,rmse,170.36504879221184,5.21,0.0088
60_LightGBM,LightGBM,rmse,171.2966814812798,7.24,0.0087
Ensemble,Ensemble,rmse,169.73411397582953,2.84,0.125
